measurement_pk,condition_pk,condition_label,setup_date,experiment_location
TRAMEA000182,TRACON000001,test,,
TRAMEA000182,TRACON000002,maintenance,,
TRAMEA000183,TRACON000001,test,,
TRAMEA000183,TRACON000002,maintenance,,
TRAMEA000184,TRACON000001,test,,
TRAMEA000184,TRACON000002,maintenance,,
TRAMEA000185,TRACON000001,test,,
TRAMEA000185,TRACON000002,maintenance,,
TRAMEA000186,TRACON000001,test,,
TRAMEA000186,TRACON000002,maintenance,,
TRAMEA000187,TRACON000001,test,,
TRAMEA000187,TRACON000002,maintenance,,
TRAMEA000188,TRACON000001,test,,
TRAMEA000188,TRACON000002,maintenance,,
TRAMEA000189,TRACON000001,test,,
TRAMEA000189,TRACON000002,maintenance,,
TRAMEA000190,TRACON000001,test,,
TRAMEA000190,TRACON000002,maintenance,,
TRAMEA000191,TRACON000001,test,,
TRAMEA000191,TRACON000002,maintenance,,
TRAMEA000192,TRACON000001,test,,
TRAMEA000192,TRACON000002,maintenance,,
TRAMEA000193,TRACON000001,test,,
TRAMEA000193,TRACON000002,maintenance,,
TRAMEA000194,TRACON000001,test,,
TRAMEA000194,TRACON000002,maintenance,,
TRAMEA000195,TRACON000001,test,,
TRAMEA000195,TRACON000002,maintenance,,
TRAMEA000196,TRACON000001,test,,
TRAMEA000196,TRACON000002,maintenance,,
TRAMEA000197,TRACON000001,test,,
TRAMEA000197,TRACON000002,maintenance,,
TRAMEA000198,TRACON000001,test,,
TRAMEA000198,TRACON000002,maintenance,,
TRAMEA000199,TRACON000001,test,,
TRAMEA000199,TRACON000002,maintenance,,
TRAMEA000200,TRACON000001,test,,
TRAMEA000200,TRACON000002,maintenance,,
TRAMEA000201,TRACON000001,test,,
TRAMEA000201,TRACON000002,maintenance,,
TRAMEA000202,TRACON000001,test,,
TRAMEA000202,TRACON000002,maintenance,,
TRAMEA000203,TRACON000001,test,,
TRAMEA000203,TRACON000002,maintenance,,
TRAMEA000204,TRACON000001,test,,
TRAMEA000204,TRACON000002,maintenance,,
TRAMEA000205,TRACON000001,test,,
TRAMEA000205,TRACON000002,maintenance,,
TRAMEA000206,TRACON000001,test,,
TRAMEA000206,TRACON000002,maintenance,,
TRAMEA000207,TRACON000001,test,,
TRAMEA000207,TRACON000002,maintenance,,
TRAMEA000208,TRACON000001,test,,
TRAMEA000208,TRACON000002,maintenance,,
TRAMEA000209,TRACON000001,test,,
TRAMEA000209,TRACON000002,maintenance,,
TRAMEA000210,TRACON000001,test,,
TRAMEA000210,TRACON000002,maintenance,,
TRAMEA000211,TRACON000001,test,,
TRAMEA000211,TRACON000002,maintenance,,
TRAMEA000212,TRACON000001,test,,
TRAMEA000212,TRACON000002,maintenance,,
TRAMEA000213,TRACON000001,test,,
TRAMEA000213,TRACON000002,maintenance,,
TRAMEA000214,TRACON000001,test,,
TRAMEA000214,TRACON000002,maintenance,,
TRAMEA000215,TRACON000001,test,,
TRAMEA000215,TRACON000002,maintenance,,
TRAMEA000216,TRACON000001,test,,
TRAMEA000216,TRACON000002,maintenance,,
TRAMEA000217,TRACON000001,test,,
TRAMEA000217,TRACON000002,maintenance,,
TRAMEA000218,TRACON000001,test,,
TRAMEA000218,TRACON000002,maintenance,,
TRAMEA000219,TRACON000001,test,,
TRAMEA000219,TRACON000002,maintenance,,
TRAMEA000220,TRACON000001,test,,
TRAMEA000220,TRACON000002,maintenance,,
TRAMEA000221,TRACON000001,test,,
TRAMEA000221,TRACON000002,maintenance,,
TRAMEA000222,TRACON000001,test,,
TRAMEA000222,TRACON000002,maintenance,,
TRAMEA000223,TRACON000001,test,,
TRAMEA000223,TRACON000002,maintenance,,
TRAMEA000224,TRACON000001,test,,
TRAMEA000224,TRACON000002,maintenance,,
TRAMEA000225,TRACON000001,test,,
TRAMEA000225,TRACON000002,maintenance,,
TRAMEA000226,TRACON000001,test,,
TRAMEA000226,TRACON000002,maintenance,,
TRAMEA000227,TRACON000001,test,,
